program,0,1,2,3,-1
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_384/stochastic-volatility.stan,11.0,72.0,1039.0,290.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_382/stochastic-volatility.stan,11.0,97.0,1060.0,293.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_517/stochastic-volatility.stan,11.0,72.0,1040.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_192/stochastic-volatility.stan,11.0,74.0,1039.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_394/stochastic-volatility.stan,12.0,83.0,1045.0,287.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_425/stochastic-volatility.stan,13.0,83.0,1053.0,285.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_27/stochastic-volatility.stan,11.0,72.0,1039.0,117.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_308/stochastic-volatility.stan,10.0,68.0,1039.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_495/stochastic-volatility.stan,12.0,94.0,1048.0,298.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_197/stochastic-volatility.stan,14.0,74.0,1047.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_477/stochastic-volatility.stan,12.0,71.0,1037.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_392/stochastic-volatility.stan,10.0,67.0,1037.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_147/stochastic-volatility.stan,11.0,80.0,172.0,52.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_545/stochastic-volatility.stan,12.0,94.0,1053.0,291.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_288/stochastic-volatility.stan,10.0,72.0,1038.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_237/stochastic-volatility.stan,9.0,67.0,1034.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_321/stochastic-volatility.stan,11.0,86.0,295.0,93.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_37/stochastic-volatility.stan,11.0,73.0,538.0,17.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_380/stochastic-volatility.stan,12.0,94.0,1053.0,291.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_386/stochastic-volatility.stan,12.0,72.0,1038.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_480/stochastic-volatility.stan,10.0,71.0,1041.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_50/stochastic-volatility.stan,12.0,83.0,1045.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_2/stochastic-volatility.stan,11.0,72.0,165.0,48.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_381/stochastic-volatility.stan,13.0,91.0,1050.0,26.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_94/stochastic-volatility.stan,11.0,70.0,537.0,153.0,1.0
