program,0_-2,0_-3,0_-1,1_-3,1_-2,1_-1,-1_-2,0_-4,1_-4,-1_-3,1_-5,2_-4,0_-5,-1_-4
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_325/hearts.stan,16.0,102.0,0.0,31.0,4.0,4.0,1.0,18.0,39.0,0.0,7.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_562/hearts.stan,19.0,110.0,0.0,44.0,5.0,4.0,1.0,22.0,40.0,0.0,7.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_547/hearts.stan,15.0,102.0,0.0,41.0,6.0,4.0,1.0,18.0,23.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_206/hearts.stan,16.0,70.0,0.0,42.0,6.0,4.0,1.0,20.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_433/hearts.stan,14.0,100.0,0.0,40.0,6.0,4.0,1.0,14.0,22.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_243/hearts.stan,13.0,105.0,0.0,41.0,6.0,4.0,1.0,19.0,36.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_296/hearts.stan,16.0,107.0,0.0,42.0,6.0,4.0,1.0,20.0,31.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_135/hearts.stan,15.0,108.0,0.0,41.0,6.0,4.0,1.0,18.0,32.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_345/hearts.stan,15.0,104.0,0.0,39.0,6.0,4.0,1.0,20.0,34.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_451/hearts.stan,14.0,100.0,0.0,40.0,6.0,4.0,1.0,17.0,24.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_85/hearts.stan,14.0,104.0,0.0,43.0,6.0,4.0,1.0,17.0,31.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_428/hearts.stan,15.0,104.0,0.0,41.0,6.0,4.0,1.0,16.0,26.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_329/hearts.stan,22.0,114.0,0.0,54.0,6.0,4.0,1.0,22.0,41.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_282/hearts.stan,14.0,104.0,0.0,43.0,6.0,4.0,1.0,20.0,31.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_109/hearts.stan,16.0,70.0,0.0,42.0,6.0,4.0,1.0,20.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_74/hearts.stan,16.0,106.0,0.0,44.0,6.0,4.0,1.0,22.0,26.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_69/hearts.stan,15.0,105.0,0.0,42.0,6.0,4.0,1.0,20.0,29.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_533/hearts.stan,16.0,40.0,0.0,42.0,6.0,4.0,1.0,20.0,32.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_170/hearts.stan,17.0,108.0,0.0,43.0,6.0,4.0,1.0,21.0,43.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_131/hearts.stan,13.0,98.0,0.0,36.0,6.0,4.0,1.0,13.0,24.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_318/hearts.stan,18.0,41.0,0.0,46.0,6.0,4.0,1.0,21.0,32.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_480/hearts.stan,14.0,100.0,0.0,39.0,6.0,4.0,1.0,16.0,24.0,0.0,6.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_509/hearts.stan,16.0,105.0,0.0,41.0,6.0,4.0,1.0,20.0,29.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_531/hearts.stan,21.0,113.0,0.0,49.0,6.0,4.0,1.0,24.0,49.0,0.0,7.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_387/hearts.stan,17.0,105.0,0.0,45.0,6.0,4.0,1.0,20.0,34.0,0.0,1.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_574/hearts.stan,17.0,110.0,0.0,45.0,6.0,4.0,1.0,19.0,38.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_421/hearts.stan,16.0,48.0,0.0,31.0,4.0,4.0,1.0,18.0,44.0,0.0,7.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_445/hearts.stan,15.0,68.0,0.0,41.0,6.0,4.0,1.0,19.0,25.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_416/hearts.stan,15.0,100.0,0.0,40.0,5.0,4.0,1.0,17.0,24.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_434/hearts.stan,15.0,68.0,0.0,41.0,6.0,4.0,1.0,19.0,27.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_281/hearts.stan,21.0,113.0,0.0,49.0,6.0,4.0,1.0,24.0,44.0,0.0,7.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_330/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,20.0,32.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_58/hearts.stan,15.0,107.0,0.0,40.0,6.0,4.0,1.0,19.0,33.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_256/hearts.stan,15.0,103.0,0.0,43.0,6.0,4.0,1.0,17.0,26.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_575/hearts.stan,15.0,34.0,0.0,36.0,6.0,4.0,1.0,19.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_96/hearts.stan,15.0,104.0,0.0,41.0,6.0,4.0,1.0,16.0,25.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_235/hearts.stan,14.0,44.0,0.0,29.0,4.0,4.0,1.0,16.0,31.0,0.0,5.0,0.0,0.0,0.0
